num_pc,lasso_dev,lasso_auc,ridge_dev,ridge_auc,ord_logreg
2,0.675241389134195,0.6738934598254245,0.6746590515686975,0.6743016905057354,0.674823061016351
3,0.6752565718013185,0.6740607085025134,0.6752753938654855,0.6752123573831894,0.6752709254308531
10,0.7489168237921993,0.7481802203422743,0.7508015844437271,0.7498237969363922,0.7512895080014926
20,0.755247468534082,0.7542413819779048,0.7561328475005573,0.7560041907281275,0.7562772966954742
30,0.7625061894186675,0.7616082482103383,0.7632439646715997,0.7637067821462272,0.7629887814122767
40,0.7663218306130863,0.765884233380984,0.766902298581507,0.7674874671751727,0.7667175666039711
50,0.76629079492555785,0.765992755488007,0.7661359082216813,0.7667350101012844,0.765945596976264
60,0.7677566834850861,0.7674494432273001,0.7670904818609943,0.7679322280232591,0.7667297666498364
70,0.7679425950460855,0.7677727486114782,0.7668976800382326,0.7680892266075962,0.7663110544645395
80,0.7681599435301458,0.7682327661797052,0.7666752081842994,0.7681130784857215,0.7660105636974203
120,0.7725015204826731,0.7727851625230286,0.7709494209958659,0.7719943816861766,0.7700645382806437
